rettime,precmz,precz,samples,rep_count
3.74,432.2385,1.0,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,4
3.758,432.2893,1.0,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,4
3.76,433.2911,1.0,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,3
3.753,448.284,1.0,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,3
3.756,450.3005,1.0,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,4
3.756,451.3039,1.0,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,4
3.755,452.3067,1.0,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,3
3.777,466.2945,1.0,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,2
3.755,468.3106,1.0,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,4
3.756,469.3139,1.0,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,4
3.738,433.2412,1.0,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv|20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,2
